GO:0070935	3'-UTR-mediated mRNA stabilization
TAO:0009306	neuroepithelial cell
TAO:0009306^OBO_REL:part_of(TAO:0000029)	neuroepithelial cell of hindbrain
TAO:0009306^OBO_REL:part_of(TAO:0000396)	neuroepithelial cell of nervous system
TAO:0009306^OBO_REL:part_of(TAO:0000131)	neuroepithelial cell of neural keel
TAO:0009306^OBO_REL:part_of(TAO:0000133)	neuroepithelial cell of neural rod
TAO:0009306^OBO_REL:part_of(TAO:0001135)	neuroepithelial cell of neural tube
TAO:0009306^OBO_REL:part_of(TAO:0000075)	neuroepithelial cell of spinal cord
TAO:0009306^OBO_REL:part_of(TAO:0001261)	neuroepithelial cell of ventricular system
GO:0022008	neurogenesis
TAO:0001309	neurogenic placode
TAO:0001271	neurohypophysis
TAO:0000243	neuromast
GO:0048884	neuromast development
TAO:0009367	neuromast hair cell
GO:0070658	neuromast hair cell differentiation involved in neuromast regeneration
TAO:0009367^OBO_REL:part_of(TAO:0001470)	neuromast hair cell of anterior lateral line
TAO:0009367^OBO_REL:part_of(TAO:0000386)	neuromast hair cell of macula
TAO:0009367^OBO_REL:part_of(TAO:0000944)	neuromast hair cell of posterior lateral line
TAO:0009367^OBO_REL:part_of(TAO:0000940)	neuromast hair cell of posterior lateral line neuromast
TAO:0000243^OBO_REL:part_of(TAO:0001470)	neuromast of anterior lateral line
TAO:0000243^OBO_REL:part_of(TAO:0001469)	neuromast of lateral line
TAO:0000243^OBO_REL:part_of(TAO:0000944)	neuromast of posterior lateral line
GO:0048883	neuromast primordium migration
TAO:0009363	neuromast support cell
TAO:0001328^OBO_REL:part_of(TAO:0000109)	neuromere of forebrain
GO:0007528	neuromuscular junction development
GO:0031594^OBO_REL:part_of(TAO:0001094)	neuromuscular junction of body
GO:0031594^OBO_REL:part_of(TAO:0001056)	neuromuscular junction of myotome
GO:0031594^OBO_REL:part_of(TAO:0005277)	neuromuscular junction of skeletal muscle
GO:0050885	neuromuscular process controlling balance
GO:0050884	neuromuscular process controlling posture
GO:0007274	neuromuscular synaptic transmission
TAO:0009248	neuron
GO:0051402	neuron apoptosis
GO:0070997	neuron death
GO:0048666	neuron development
GO:0030182	neuron differentiation
GO:0048663	neuron fate commitment
GO:0001764	neuron migration
TAO:0009009^OBO_REL:part_of(TAO:0001155)	neuron neural crest derived of enteric nervous system
TAO:0009009^OBO_REL:part_of(TAO:0001334)	neuron neural crest derived of presumptive enteric nervous system
TAO:0009248^OBO_REL:part_of(TAO:0000008)	neuron of brain
TAO:0009248^OBO_REL:part_of(TAO:0000633)	neuron of caudal tuberculum
TAO:0009248^OBO_REL:part_of(TAO:0000012)	neuron of central nervous system
TAO:0009248^OBO_REL:part_of(TAO:0000013)	neuron of cranial ganglia
TAO:0009248^OBO_REL:part_of(TAO:0000197)	neuron of dorsal nucleus
TAO:0009248^OBO_REL:part_of(TAO:0000200)	neuron of dorsal root ganglion
TAO:0009248^OBO_REL:part_of(TAO:0001155)	neuron of enteric nervous system
TAO:0009248^OBO_REL:part_of(TAO:0000019)	neuron of epiphysis
TAO:0009248^OBO_REL:part_of(TAO:0000109)	neuron of forebrain
TAO:0009248^OBO_REL:part_of(TAO:0000112)	neuron of gut
TAO:0009248^OBO_REL:part_of(TAO:0000213)	neuron of habenula
TAO:0009248^OBO_REL:part_of(TAO:0001114)	neuron of head
TAO:0009248^OBO_REL:part_of(TAO:0000029)	neuron of hindbrain
TAO:0009248^OBO_REL:part_of(TAO:0002199)	neuron of hindbrain commissure
TAO:0009248^OBO_REL:part_of(TAO:0000032)	neuron of hypothalamus
TAO:0009248^OBO_REL:part_of(TAO:0001338)	neuron of intestine
TAO:0009248^OBO_REL:part_of(TAO:0000539)	neuron of locus coeruleus
TAO:0009248^OBO_REL:part_of(TAO:0000128)	neuron of midbrain
TAO:0009248^OBO_REL:part_of(TAO:0001202)	neuron of optic cup
TAO:0009248^OBO_REL:part_of(TAO:0000445)	neuron of optic tectum
TAO:0009248^OBO_REL:part_of(TAO:0000142)	neuron of peripheral nervous system
TAO:0009248^OBO_REL:part_of(TAO:0000706)	neuron of posterior intestine
TAO:0009248^OBO_REL:part_of(TAO:0000944)	neuron of posterior lateral line
TAO:0009248^OBO_REL:part_of(TAO:0000152)	neuron of retina
TAO:0009248^OBO_REL:part_of(TAO:0000024)	neuron of retinal ganglion cell layer
TAO:0009248^OBO_REL:part_of(TAO:0000119)	neuron of retinal inner nuclear layer
TAO:0009248^OBO_REL:part_of(TAO:0001064)	neuron of rhombomere
TAO:0009248^OBO_REL:part_of(TAO:0000822)	neuron of rhombomere 2
TAO:0009248^OBO_REL:part_of(TAO:0001032)	neuron of rhombomere 4
TAO:0009248^OBO_REL:part_of(TAO:0000075)	neuron of spinal cord
TAO:0009248^OBO_REL:part_of(TAO:0007035)	neuron of spinal cord neural rod
TAO:0009248^OBO_REL:part_of(TAO:0000588)	neuron of statoacoustic (VIII) ganglion
TAO:0009248^OBO_REL:part_of(TAO:0001576)	neuron of sympathetic nervous system
TAO:0009248^OBO_REL:part_of(TAO:0000079)	neuron of telencephalon
TAO:0009248^OBO_REL:part_of(TAO:0000295)	neuron of trigeminal ganglion
TAO:0009248^OBO_REL:part_of(TAO:0000162)	neuron of trigeminal placode
GO:0031175	neuron projection development
GO:0048812	neuron projection morphogenesis
GO:0043005^OBO_REL:part_of(TAO:0009150)	neuron projection of Rohon-Beard neuron
GO:0043005^OBO_REL:part_of(TAO:0009255)	neuron projection of amacrine cell
GO:0043005^OBO_REL:part_of(TAO:0007024)	neuron projection of anterior neural keel
GO:0043005^OBO_REL:part_of(TAO:0000013)	neuron projection of cranial ganglia
GO:0043005^OBO_REL:part_of(TAO:0009052)	neuron projection of motor neuron
GO:0043005^OBO_REL:part_of(TAO:0000445)	neuron projection of optic tectum
GO:0043005^OBO_REL:part_of(TAO:0009244)	neuron projection of primary motor neuron
GO:0043005^OBO_REL:part_of(TAO:0009310)	neuron projection of retinal ganglion cell
GO:0043005^OBO_REL:part_of(TAO:0000024)	neuron projection of retinal ganglion cell layer
GO:0043005^OBO_REL:part_of(TAO:0001083)	neuron projection of ventricular zone
GO:0016322	neuron remodeling
GO:0007270	neuron-neuron synaptic transmission
GO:0043025^OBO_REL:part_of(TAO:0000664)	neuronal cell body of cranial nerve VII
GO:0043025^OBO_REL:part_of(TAO:0009052)	neuronal cell body of motor neuron
GO:0043025^OBO_REL:part_of(TAO:0001032)	neuronal cell body of rhombomere 4
GO:0043025^OBO_REL:part_of(TAO:0000823)	neuronal cell body of rhombomere 5
GO:0043025^OBO_REL:part_of(TAO:0000949)	neuronal cell body of rhombomere 7
GO:0097150	neuronal stem cell maintenance
TAO:0009019^OBO_REL:part_of(TAO:0001289)	neuronal stem cell of ciliary marginal zone
TAO:0009019^OBO_REL:part_of(TAO:0000013)	neuronal stem cell of cranial ganglia
TAO:0009019^OBO_REL:part_of(TAO:0000075)	neuronal stem cell of spinal cord
TAO:0009186^OBO_REL:part_of(TAO:0000633)	neurosecretory neuron of caudal tuberculum
TAO:0009186^OBO_REL:part_of(TAO:0000101)	neurosecretory neuron of diencephalon
TAO:0009186^OBO_REL:part_of(TAO:0000032)	neurosecretory neuron of hypothalamus
TAO:0009186^OBO_REL:part_of(TAO:0000470)	neurosecretory neuron of preoptic area
GO:0042136	neurotransmitter biosynthetic process
GO:0007269	neurotransmitter secretion
GO:0006638	neutral lipid metabolic process
TAO:0009327	neutrophil
GO:0002283	neutrophil activation involved in immune response
GO:0070488	neutrophil aggregation
GO:0030593	neutrophil chemotaxis
GO:0030223	neutrophil differentiation
GO:0001780	neutrophil homeostasis
GO:0002446	neutrophil mediated immunity
TAO:0009327^OBO_REL:part_of(TAO:0005039)	neutrophil of anterior lateral mesoderm
TAO:0009327^OBO_REL:part_of(TAO:0000094)	neutrophil of blood island
TAO:0009327^OBO_REL:part_of(TAO:0000102)	neutrophil of dorsal fin fold
TAO:0009327^OBO_REL:part_of(TAO:0000105)	neutrophil of epidermis
TAO:0009327^OBO_REL:part_of(TAO:0000033)	neutrophil of intermediate cell mass of mesoderm
TAO:0009327^OBO_REL:part_of(TAO:0001269)	neutrophil of regenerating fin
TAO:0009327^OBO_REL:part_of(TAO:0005029)	neutrophil of rostral blood island
TAO:0009327^OBO_REL:part_of(TAO:0005277)	neutrophil of skeletal muscle
TAO:0009327^OBO_REL:part_of(TAO:0001069)	neutrophil of ventral fin fold
GO:0033268^OBO_REL:part_of(TAO:0000175)	node of Ranvier of posterior lateral line nerve
TAO:0001178	non neural ectoderm
GO:0004715	non-membrane spanning protein tyrosine kinase activity
GO:0031513^OBO_REL:part_of(TAO:0001094)	nonmotile primary cilium of body
GO:0031513^OBO_REL:part_of(TAO:0001135)	nonmotile primary cilium of neural tube
GO:0031513^OBO_REL:part_of(TAO:0000554)	nonmotile primary cilium of olfactory epithelium
GO:0031513^OBO_REL:part_of(TAO:0000130)	nonmotile primary cilium of olfactory pit
GO:0043584	nose development
VSAO:0000032	notochord
GO:0060035	notochord cell development
GO:0060034	notochord cell differentiation
GO:0060036	notochord cell vacuolation
GO:0030903	notochord development
GO:0014028	notochord formation
GO:0048570	notochord morphogenesis
VSAO:0000032^OBO_REL:part_of(TAO:0001117)	notochord of post-vent region
VSAO:0000032^OBO_REL:part_of(TAO:0001115)	notochord of trunk
TAO:0001821	notochord posterior region
TAO:0001640	notochordal ossification
GO:0000790^OBO_REL:part_of(TAO:0009154)	nuclear chromatin of eye photoreceptor cell
GO:0000280	nuclear division
GO:0005635^OBO_REL:part_of(TAO:0000473)	nuclear envelope of trunk musculature
GO:0045292	nuclear mRNA cis splicing, via spliceosome
GO:0000398	nuclear mRNA splicing, via spliceosome
GO:0007097	nuclear migration
GO:0031081	nuclear pore distribution
GO:0005643^OBO_REL:part_of(TAO:0005126)	nuclear pore of intestinal bulb epithelium
GO:0005643^OBO_REL:part_of(TAO:0005124)	nuclear pore of intestinal epithelium
GO:0005643^OBO_REL:part_of(TAO:0001338)	nuclear pore of intestine
GO:0005643^OBO_REL:part_of(TAO:0005145)	nuclear pore of muscle
GO:0005643^OBO_REL:part_of(TAO:0000445)	nuclear pore of optic tectum
GO:0005643^OBO_REL:part_of(TAO:0009041)	nuclear pore of peridermal cell
GO:0005643^OBO_REL:part_of(TAO:0001306)	nuclear pore of pharyngeal arch
GO:0005643^OBO_REL:part_of(TAO:0000706)	nuclear pore of posterior intestine
GO:0005643^OBO_REL:part_of(TAO:0000152)	nuclear pore of retina
GO:0005643^OBO_REL:part_of(TAO:0009115)	nuclear pore of skeletal muscle cell
TAO:0009256	nucleate erythrocyte
GO:0048823	nucleate erythrocyte development
GO:0043362	nucleate erythrocyte maturation
TAO:0009256^OBO_REL:part_of(TAO:0000007)	nucleate erythrocyte of blood
TAO:0009256^OBO_REL:part_of(TAO:0000094)	nucleate erythrocyte of blood island
TAO:0009256^OBO_REL:part_of(TAO:0000010)	nucleate erythrocyte of cardiovascular system
TAO:0009256^OBO_REL:part_of(TAO:0000529)	nucleate erythrocyte of kidney
TAO:0009256^OBO_REL:part_of(TAO:0000123)	nucleate erythrocyte of liver
GO:0005730^OBO_REL:part_of(TAO:0001289)	nucleolus of ciliary marginal zone
GO:0005730^OBO_REL:part_of(TAO:0000123)	nucleolus of liver
GO:0005730^OBO_REL:part_of(TAO:0009310)	nucleolus of retinal ganglion cell
GO:0005634^OBO_REL:part_of(TAO:0000712)	nucleus of I-YSL
GO:0005634^OBO_REL:part_of(TAO:0000088)	nucleus of YSL
GO:0005634^OBO_REL:part_of(TAO:0009177)	nucleus of blastoderm cell
GO:0005634^OBO_REL:part_of(TAO:0000093)	nucleus of blastomere
GO:0005634^OBO_REL:part_of(TAO:0001094)	nucleus of body
GO:0005634^OBO_REL:part_of(TAO:0000008)	nucleus of brain
GO:0005634^OBO_REL:part_of(CARO:0000013)	nucleus of cell
GO:0005634^OBO_REL:part_of(TAO:0000012)	nucleus of central nervous system
GO:0005634^OBO_REL:part_of(CL:0000138)	nucleus of chondrocyte
GO:0005634^OBO_REL:part_of(TAO:0009269)	nucleus of enterocyte
GO:0005634^OBO_REL:part_of(TAO:0005237)	nucleus of erythroblast
GO:0005634^OBO_REL:part_of(TAO:0001249)	nucleus of exocrine pancreas
GO:0005634^OBO_REL:part_of(TAO:0009154)	nucleus of eye photoreceptor cell
GO:0005634^OBO_REL:part_of(TAO:0000035)	nucleus of lens
GO:0005634^OBO_REL:part_of(TAO:0001326)	nucleus of lens epithelium
GO:0005634^OBO_REL:part_of(TAO:0000123)	nucleus of liver
GO:0005634^OBO_REL:part_of(TAO:0009091)	nucleus of melanocyte
GO:0005634^OBO_REL:part_of(TAO:0009011)	nucleus of neuroblast
GO:0005634^OBO_REL:part_of(TAO:0009367)	nucleus of neuromast hair cell
GO:0005634^OBO_REL:part_of(VSAO:0000032)	nucleus of notochord
GO:0005634^OBO_REL:part_of(TAO:0009256)	nucleus of nucleate erythrocyte
GO:0005634^OBO_REL:part_of(TAO:0001567)	nucleus of oocyte stage I
GO:0005634^OBO_REL:part_of(TAO:0001565)	nucleus of oocyte stage II
GO:0005634^OBO_REL:part_of(TAO:0001465)	nucleus of photoreceptor inner segment layer
GO:0005634^OBO_REL:part_of(TAO:0001466)	nucleus of photoreceptor outer segment layer
GO:0005634^OBO_REL:part_of(TAO:0000152)	nucleus of retina
GO:0005634^OBO_REL:part_of(TAO:0009318)	nucleus of retinal bipolar neuron
GO:0005634^OBO_REL:part_of(TAO:0009262)	nucleus of retinal cone cell
GO:0005634^OBO_REL:part_of(TAO:0009310)	nucleus of retinal ganglion cell
GO:0005634^OBO_REL:part_of(TAO:0000119)	nucleus of retinal inner nuclear layer
GO:0005634^OBO_REL:part_of(TAO:0000046)	nucleus of retinal neural layer
GO:0005634^OBO_REL:part_of(TAO:0001464)	nucleus of retinal outer nuclear layer
GO:0005634^OBO_REL:part_of(TAO:0009275)	nucleus of retinal rod cell
GO:0005634^OBO_REL:part_of(TAO:0009115)	nucleus of skeletal muscle cell
GO:0005634^OBO_REL:part_of(TAO:0009236)	nucleus of skeletal muscle myoblast
GO:0005634^OBO_REL:part_of(TAO:0009116)	nucleus of slow muscle cell
GO:0005634^OBO_REL:part_of(TAO:0000155)	nucleus of somite
GO:0005634^OBO_REL:part_of(TAO:0000075)	nucleus of spinal cord
TAO:0001340	nucleus of the tract of the postoptic commissure
TAO:0001504	occipital arch cartilage
TAO:0007057	ocular blood vessel
TAO:0007057^OBO_REL:part_of(TAO:0001329)	ocular blood vessel of retinal inner plexiform layer
TAO:0000553	oculomotor nucleus
GO:0042476	odontogenesis
TAO:0000402	olfactory bulb
GO:0021772	olfactory bulb development
TAO:0000554	olfactory epithelium
TAO:0000130	olfactory pit
TAO:0000048	olfactory placode
TAO:0009125	olfactory receptor cell
TAO:0009125^OBO_REL:part_of(TAO:0000048)	olfactory receptor cell of olfactory placode
TAO:0000351	olfactory region
TAO:0001149	olfactory system
TAO:0009076	oligodendrocyte
GO:0021778	oligodendrocyte cell fate specification
GO:0014003	oligodendrocyte development
GO:0048709	oligodendrocyte differentiation
TAO:0009076^OBO_REL:part_of(TAO:0000029)	oligodendrocyte of hindbrain
TAO:0009076^OBO_REL:part_of(TAO:0000075)	oligodendrocyte of spinal cord
GO:0070444	oligodendrocyte progenitor proliferation
GO:0070267	oncosis
TAO:0001109	oocyte
GO:0060832	oocyte animal/vegetal axis specification
GO:0007314	oocyte anterior/posterior axis specification
GO:0048599	oocyte development
GO:0009994	oocyte differentiation
GO:0001556	oocyte maturation
GO:0048601	oocyte morphogenesis
TAO:0001567	oocyte stage I
TAO:0001565	oocyte stage II
TAO:0001566	oocyte stage III
TAO:0001568	oocyte stage IV
GO:0048477	oogenesis
TAO:0000250	opercle
TAO:0000555	opercular flap
TAO:0000814	opercular lateral line neuromast
TAO:0005044	optic artery
TAO:0000556	optic chiasm
TAO:0001202	optic cup
GO:0002072	optic cup morphogenesis involved in camera-type eye development
TAO:0001284	optic fissure
ZFA:0005491	optic furrow
GO:0021554	optic nerve development
GO:0021634	optic nerve formation
TAO:0002213	optic nerve head
TAO:0000570	optic primordium
TAO:0000137	optic stalk
TAO:0000445	optic tectum
TAO:0000252	optic tract
TAO:0000050	optic vesicle
GO:0003404	optic vesicle morphogenesis
GO:0007634	optokinetic behavior
GO:0071632	optomotor response
TAO:0001027	oral cavity
ZFA:0005463	oral ectoderm
TAO:0001410	orbital region
GO:0048513	organ development
GO:0009887	organ morphogenesis
GO:0031100	organ regeneration
GO:0043226^OBO_REL:part_of(TAO:0009154)	organelle of eye photoreceptor cell
GO:0043226^OBO_REL:part_of(TAO:0009262)	organelle of retinal cone cell
TAO:0001125	organizer inducing center
GO:0001503	ossification
GO:0043931	ossification involved in bone maturation
CL:0000062	osteoblast
GO:0001649	osteoblast differentiation
CL:0000062^OBO_REL:part_of(TAO:0001205)	osteoblast of Meckel's cartilage
CL:0000062^OBO_REL:part_of(TAO:0000476)	osteoblast of branchiostegal ray
CL:0000062^OBO_REL:part_of(VSAO:0000164)	osteoblast of caudal fin
CL:0000062^OBO_REL:part_of(TAO:0001400)	osteoblast of ceratohyal cartilage
CL:0000062^OBO_REL:part_of(TAO:0000184)	osteoblast of cleithrum
CL:0000062^OBO_REL:part_of(TAO:0005255)	osteoblast of frontal-parietal joint
CL:0000062^OBO_REL:part_of(TAO:0001922)	osteoblast of inter-frontal joint
CL:0000062^OBO_REL:part_of(TAO:0005245)	osteoblast of inter-parietal joint
CL:0000062^OBO_REL:part_of(TAO:0001227)	osteoblast of mandibular arch
CL:0000062^OBO_REL:part_of(TAO:0000250)	osteoblast of opercle
CL:0000062^OBO_REL:part_of(TAO:0000555)	osteoblast of opercular flap
GO:0033687	osteoblast proliferation
GO:0030316	osteoclast differentiation
TAO:0009047^OBO_REL:part_of(TAO:0001205)	osteoclast of Meckel's cartilage
TAO:0009047^OBO_REL:part_of(VSAO:0000167)	osteoclast of caudal fin skeleton
TAO:0009047^OBO_REL:part_of(TAO:0001229)	osteoclast of gill arch 5 skeleton
TAO:0009047^OBO_REL:part_of(TAO:0000519)	osteoclast of hemal arch
TAO:0009047^OBO_REL:part_of(TAO:0001066)	osteoclast of neural arch
TAO:0009047^OBO_REL:part_of(TAO:0000555)	osteoclast of opercular flap
ZFA:0007068	otic epithelium
TAO:0000136	otic lateral line neuromast
TAO:0000138	otic placode
GO:0043049	otic placode formation
TAO:0000051	otic vesicle
GO:0071599	otic vesicle development
GO:0030916	otic vesicle formation
GO:0071600	otic vesicle morphogenesis
TAO:0002215	otic vesicle protrusion
TAO:0002216	otic vesicle ventral protrusion
TAO:0001621	otolith
GO:0048840	otolith development
GO:0032475	otolith formation
GO:0045299	otolith mineralization
GO:0032474	otolith morphogenesis
TAO:0001621^OBO_REL:part_of(TAO:0000217)	otolith of inner ear
TAO:0000559	otolith organ
TAO:0001331	outer limiting membrane
TAO:0001110	ovarian follicle
GO:0001541	ovarian follicle development
TAO:0001263	ovarian follicle stage I
TAO:0000403	ovary
TAO:0002093	palate
GO:0060021	palate development
TAO:0001272	palatoquadrate arch
TAO:0001399	palatoquadrate cartilage
TAO:0000140	pancreas
